,Sale Date,Sale Price,Location,Year Built,Garden,Garage,Type,Style,Bedrooms,Bathrooms,First Time Buyer
37,Sold 2022-03-07,"€350,332.00",Oak Park,1968,Yes,???, Detached, 1-Storey,2,1,No
38,Sold 2022-03-07,"€354,709.00",Summerston,1984,Yes,Yes, Detached, 1.5-Storey,3,2,No
39,Sold 2022-03-07,"€529,561.00",Brookville,2016,Yes,No, Detached, 2-Storey,3,2,No
40,Sold 2022-04-11,"€ 504,188",Brookville,2016,???,No, Detached, 2-Storey,3,3,No
41,Sold 2022-04-11,"€557,306.00",Brookville,2009,Yes,No, Det., 1-Storey,3,2,No
42,Sold 2022-04-11,"€278,787.00",Brookville,1987,Yes,Yes, Bungalow, 1-Storey,3,1,No
43,Sold 2022-04-11,"€ 759,492",Brookville,2004,Yes,Yes, Detached, 2-Storey,3,2,Yes
44,Sold 2022-04-11,"€612,218.00",Brookville,2017,Yes,Yes, Detached, 2-Storey,3,2,No
45,Sold 2022-04-11,"€195,105.00",Summerston,1936,Yes,No, Bungalow, 1-Storey,2,1,No
46,Sold 2022-04-11,"€241,291.00",Summerston,1932,No,No, Bungalow, 1-Storey,2,1,Yes
47,Sold 2022-04-11,"€464,223.00",Summerston,1922,Yes,No, Detached, 1-Storey,4,2,No
48,Sold 2022-04-11,"€361,255.00",Summerston,1960,Yes,Yes, Detached, 1-Storey,4,2,No
49,Sold 2022-04-11,"€496,397.00",Summerston,2020,???,Yes, Detached, 1-Storey,4,2,No
50,Sold 2022-04-11,"€349,226.00",Summerston,1967,Yes,Yes, Detached, 1-Storey,3,1,Yes
51,Sold 2022-04-11,"€407,109.00",Summerston,1987,Yes,Yes, Detached, 2-Storey,3,1,Yes
52,Sold 2022-04-11,"€ 822,291",Avoca,2020,Yes,Yes, Detached, 2-Storey,4,3,No
53,Sold 2022-04-11,"€746,305.00",Avoca,2015,No,No, Semi-Detached, 1-Storey,1,1,No
54,Sold 2022-04-11,"€332,958.00",Rivermount,1929,Yes,Yes, Detached, 2-Storey,3,1,No
55,Sold 2022-04-11,"€323,080.00",Oak Park,1952,Yes,Yes, Detached, 1-Storey,3,1,No
56,Sold 2022-04-11,"€426,065.00",Rivermount,1917,No,No, Terraced, 1-Storey,3,2,No
57,Sold 2022-04-11,"€447,340.00",Oak Park,1968,Yes,No, Detached, 2-Storey,4,2,Yes
58,Sold 2022-04-11,"€511,445.00",Avoca,Unknown,Yes,No, Detached, 2-Storey,3,2,No
59,Sold 2022-04-11,"€246,528.00",Summerston,1937,Yes,No, Bungalow, 1-Storey,2,1,Yes
60,Sold 2022-05-01,"€334,227.00",Oak Park,1955,Yes,No, Detached, 1-Storey,2,1,No
61,Sold 2022-05-01,"€536,786.00",Oak Park,1977,Yes,???, Detached, 2-Storey,4,1,Yes
62,Sold 2022-05-01,"€440,280.00",Avoca,2012,Yes,Yes, Detached, 2-Storey,3,2,No
63,Sold 2022-05-01,"€277,768.00",Beacon Hill,1936,No,No, Bungalow, 1-Storey,2,1,NO
64,Sold 2022-05-01,"€409,635.00",Oak Park,1972,Yes,Yes, Detached, 1-Storey,2,1,No
65,Sold 2022-05-01,"€548,207.00",Porter Square,2019,Yes,Yes, Det., 2-Storey,3,2,No
66,Sold 2022-05-01,"€479,673.00",Avoca,2009,Yes,No, Detached, 1.5-Storey,2,2,Yes
67,Sold 2022-05-01,"€333,938.00",Broomhouse,1979,Yes,No, Detached, 1-Storey,3,1,No
68,Sold 2022-05-01,"€440,319.00",Avoca,2012,Yes,Yes, Detached, 2-Storey,3,2,No
69,Sold 2022-05-01,"€359,220.00",Oak Park,1968,Yes,Yes, Detached, 1-Storey,2,1,NO
70,Sold 2022-05-01,"€ 364,718",Brookville,2016,Yes,No, Semi-Detached, 1-Storey,1,1,No
71,Sold 2022-05-01,"€572,559.00",Brookville,2006,Yes,No, Detached, 2-Storey,3,2,Yes
72,Sold 2022-05-01,"€548,550.00",Brookville,2014,Yes,Yes, Detached, 1-Storey,3,2,No
73,Sold 2022-05-01,"€346,089.00",Brookville,2016,Yes,No, Semi-Detached, 1-Storey,1,1,Yes
74,Sold 2022-05-01,"€600,004.00",Brookville,2012,Yes,Yes, Detached, 1-Storey,3,2,No
75,Sold 2022-05-01,"€325,558.00",Brookville,1984,Yes,Yes, Detached, 1-Storey,3,1,Yes
76,Sold 2022-05-01,"€ 472,901",Brookville,2019,Yes,Yes, Detached, 1-Storey,3,2,No
77,Sold 2022-05-01,"€553,494.00",Porter Square,2015,Yes,Yes, Detached, 2-Storey,3,2,No
78,Sold 2022-05-01,"€ 693,215",Brookville,2014,Yes,No, Detached, 2-Storey,4,2,No
79,Sold 2022-05-01,"€684,555.00",Brookville,2008,Yes,No, Detached, 2-Storey,5,2,No
80,Sold 2022-05-16,"€238,110.00",Summerston,1963,Yes,Yes, Bungalow, 1-Storey,4,1,No
81,Sold 2022-05-16,"€ 640,234",Oak Park,1982,Yes,Yes, Detached, 1-Storey,4,2,NO
82,Sold 2022-05-16,"€272,543.00",Summerston,1957,Yes,Yes, Bungalow, 1-Storey,2,1,No
83,Sold 2022-05-16,"€464,327.00",Oak Park,1970,Yes,Yes, Detached, 1-Storey,3,1,Yes
84,Sold 2022-05-16,"€348,125.00",Summerston,1966,Yes,Yes, Detached, 1-Storey,4,2,NO
85,Sold 2022-05-16,"€211,416.00",Summerston,1922,No,No, Bungalow, 1-Storey,2,1,YES
86,Sold 2022-05-16,"€346,090.00",Brookville,2016,Yes,No, Semi-Detached, 1-Storey,1,1,No
87,Sold 2022-05-16,"€465,977.00",Summerston,1971,Yes,Yes, Detached, 1.5-Storey,2,1,No
88,Sold 2022-05-16,"€266,374.00",Rivermount,1966,No,Yes, Bungalow, 1-Storey,3,1,Yes
89,Sold 2022-05-16,"€460,256.00",Oak Park,1978,Yes,No, Detached, 1.5-Storey,3,1,NO
90,Sold 2022-05-16,"€808,379.00",Rivermount,1892,Yes,No, Detached, 2-Storey,3,3,NO
91,Sold 2022-05-16,"€622,598.00",Brookville,2013,Yes,No, Det., 2-Storey,3,2,No
92,Sold 2022-05-16,"€508,231.00",Broomhouse,1990,Yes,No, Duplex, 1-Storey,4,2,Yes
93,Sold 2022-05-16,"€367,481.00",Broomhouse,1973,Yes,Yes, Detached, 1-Storey,3,1,Yes
94,Sold 2022-05-16,"€452,460.00",Broomhouse,1978,Yes,Yes, Detached, 1.5-Storey,3,2,No
95,Sold 2022-05-16,"€323,558.00",Broomhouse,1975,Yes,Yes, Detached, 1-Storey,3,1,No
96,Sold 2022-05-16,"€210,970.00",Rivermount,1923,Yes,Yes, Bungalow, 1-Storey,2,1,Yes
97,Sold 2022-05-16,"€ 381,579",Rivermount,1960,Yes,???, Detached, 1-Storey,2,1,No
98,Sold 2022-05-16,"€333,650.00",Beacon Hill,1930,Yes,No, Detached, 1-Storey,2,1,Yes
99,Sold 2022-05-16,"€167,057.00",Beacon Hill,1939,Yes,Yes, Bungalow, 1-Storey,1,1,Yes
100,Sold 2022-05-27,"€207,304.00",Beacon Hill,1949,Yes,No, Bungalow, 1-Storey,2,1,No
101,Sold 2022-05-27,"€335,681.00",Summerston,1958,Yes,Yes, Detached, 1-Storey,3,1,No
102,Sold 2022-05-27,"€421,790.00",Rivermount,1938,Yes,???, Detached, 2-Storey,4,1,No
103,Sold 2022-05-27,"€320,479.00",Rivermount,1967,Yes,No, Detached, 1-Storey,2,1,No
104,Sold 2022-05-27,"€551,573.00",Oak Park,1981,Yes,Yes, Detached, 2-Storey,4,2,Yes
105,Sold 2022-05-27,"€358,169.00",Oak Park,1976,Yes,Yes, Detached, 1-Storey,3,2,No
106,Sold 2022-05-27,"€483,371.00",Brookville,2015,Yes,???, Detached, 2-Storey,3,2,No
107,Sold 2022-05-27,"€580,977.00",Brookville,2017,Yes,???, Detached, 2-Storey,3,2,No
108,Sold 2022-05-27,"€285,199.00",Oak Park,1959,Yes,???, Bungalow, 1-Storey,2,1,Yes
109,Sold 2022-05-27,"€420,464.00",Rivermount,1937,Yes,Yes, Detached, 2-Storey,3,1,No
110,Sold 2022-05-27,"€434,992.00",Oak Park,1969,Yes,Yes, Detached, 1-Storey,3,1,No
111,Sold 2022-05-27,"€404,003.00",Summerston,1965,Yes,Yes, Detached, 1-Storey,3,1,Yes
112,Sold 2022-05-27,"€342,087.00",Summerston,1977,Yes,Yes, Detached, 1-Storey,3,1,Yes
113,Sold 2022-05-27,"€331,567.00",Summerston,1963,No,No, Terraced, 1-Storey,3,1,Yes
114,Sold 2022-05-27,"€432,088.00",Broomhouse,1966,Yes,Yes, Detached, 1-Storey,3,1,No
115,Sold 2022-05-27,"€341,693.00",Summerston,1977,Yes,No, Detached, 1-Storey,3,1,No
116,Sold 2022-05-27,"€441,827.00",Oak Park,1976,Yes,No, Detached, 1.5-Storey,3,1,No
117,Sold 2022-05-27,"€429,162.00",Oak Park,Unknown,Yes,Yes, Detached, 1-Storey,4,2,Yes
118,Sold 2022-05-27,"€346,617.00",Oak Park,1960,Yes,Yes, Detached, 1-Storey,2,1,No
119,Sold 2022-05-27,"€440,567.00",Oak Park,1976,Yes,Yes, Det., 2-Storey,4,1,No
120,Sold 2022-06-11,"€491,461.00",Oak Park,1975,Yes,Yes, Detached, 1.5-Storey,4,1,No
121,Sold 2022-06-11,"€387,881.00",Oak Park,1983,Yes,???, Det., 1-Storey,3,1,NO
122,Sold 2022-06-11,"€285,661.00",Rivermount,1969,Yes,Yes, Detached, 1-Storey,3,1,Yes
123,Sold 2022-06-11,"€137,187.00",Summerston,1920,Yes,Yes, Bungalow, 1-Storey,2,2,Yes
124,Sold 2022-06-11,"€426,444.00",Oak Park,1973,Yes,Yes, Detached, 1-Storey,3,1,Yes
125,Sold 2022-06-11,"€492,752.00",Beacon Hill,1935,Yes,Yes, Detached, 1-Storey,4,1,No
126,Sold 2022-06-11,"€384,224.00",Summerston,2017,Yes,No, Semi-Detached, 1.5-Storey,2,1,Yes
127,Sold 2022-06-11,"€333,544.00",Summerston,2020,No,No, Semi-Detached, 1.5-Storey,3,1,No
128,Sold 2022-06-11,"€ 286,132",Beacon Hill,1940,Yes,No, Detached, 1-Storey,3,1,Yes
129,Sold 2022-06-11,"€485,510.00",Beacon Hill,c1937,Yes,Yes, Detached, 1-Storey,4,2,No
130,Sold 2022-06-11,"€258,657.00",Beacon Hill,1941,Yes,Yes, Bungalow, 1-Storey,2,2,Yes
131,Sold 2022-06-11,"€ 328,489",Rivermount,1926,Yes,No, Detached, 2-Storey,3,2,Yes
132,Sold 2022-06-11,"€388,038.00",Broomhouse,1978,Yes,Yes, Detached, 1-Storey,3,1,No
133,Sold 2022-06-11,"€403,855.00",Oak Park,1972,Yes,No, Detached, 1-Storey,3,1,Yes
134,Sold 2022-06-11,"€328,224.00",Beacon Hill,1932,Yes,Yes, Detached, 2-Storey,3,2,YES
135,Sold 2022-06-11,"€231,862.00",Beacon Hill,1937,Yes,Yes, Bungalow, 1-Storey,2,1,Yes
136,Sold 2022-06-11,"€120,347.00",Rivermount,1959,No,No, Bungalow, 1-Storey,2,1,No
137,Sold 2022-06-11,"€693,544.00",Rivermount,1932,Yes,???, Detached, 1-Storey,5,2,Yes
138,Sold 2022-06-11,"€299,585.00",Rivermount,1935,Yes,Yes, Detached, 1-Storey,2,1,Yes
139,Sold 2022-06-11,"€353,510.00",Rivermount,1922,Yes,No, Terraced, 2-Storey,5,2,No
140,Sold 2022-06-16,"€374,767.00",Rivermount,c1937,Yes,Yes, Detached, 2-Storey,3,1,Yes
141,Sold 2022-06-16,"€179,544.00",Rivermount,1937,Yes,Yes, Bungalow, 1-Storey,2,1,Yes
142,Sold 2022-06-16,"€343,337.00",Rivermount,1970,Yes,Yes, Detached, 1-Storey,4,2,Yes
143,Sold 2022-06-16,"€400,412.00",Rivermount,1927,Yes,No, Detached, 1-Storey,4,1,Yes
144,Sold 2022-06-16,"€291,517.00",Beacon Hill,1965,Yes,No, Detached, 1-Storey,2,2,No
145,Sold 2022-06-16,"€426,089.00",Beacon Hill,Unknown,Yes,Yes, Detached, 1-Storey,3,2,No
146,Sold 2022-06-16,"€374,658.00",Brookville,2016,???,No, Semi-Detached, 1-Storey,1,1,No
147,Sold 2022-06-16,"€463,210.00",Summerston,2017,Yes,Yes, Detached, 1-Storey,2,1,No
148,Sold 2022-06-16,"€351,054.00",Oak Park,1970,Yes,Yes, Detached, 1-Storey,3,1,No
149,Sold 2022-06-16,"€ 539,919",Brookville,2017,Yes,No, Detached, 2-Storey,3,2,No
150,Sold 2022-06-16,"€323,616.00",Summerston,2020,Yes,Yes, End-of-Terrace, 2-Storey,3,2,Yes
151,Sold 2022-06-16,"€632,594.00",Brookville,2012,Yes,Yes, Detached, 2-Storey,3,2,No
152,Sold 2022-06-16,"€531,273.00",Rivermount,2015,Yes,Yes, Detached, 1-Storey,3,2,No
153,Sold 2022-06-16,"€372,008.00",Rivermount,c1912,Yes,No, Terraced, 2-Storey,4,2,Yes
154,Sold 2022-06-16,"€373,303.00",Brookville,2007,Yes,Yes, Detached, 1-Storey,3,1,No
155,Sold 2022-06-16,"€411,076.00",Rivermount,1916,Yes,Yes, Detached, 2-Storey,3,2,No
156,Sold 2022-06-16,"€497,327.00",Avoca,2007,Yes,Yes, Detached, 2-Storey,3,2,No
157,Sold 2022-06-16,"€ 508,481",Avoca,2018,Yes,No, Det., 2-Storey,3,3,No
158,Sold 2022-06-16,"€661,872.00",Avoca,2018,Yes,No, Detached, 2-Storey,4,2,No
159,Sold 2022-06-16,"€463,361.00",Avoca,2017,Yes,Yes, Detached, 2-Storey,3,2,No
160,Sold 2022-07-05,"€704,887.00",Avoca,2010,Yes,No, Detached, 1-Storey,4,2,No
161,Sold 2022-07-05,"€415,796.00",Avoca,2009,Yes,Yes, Det., 1.5-Storey,3,2,No
162,Sold 2022-07-05,"€676,102.00",Porter Square,2017,Yes,No, Detached, 2-Storey,3,2,No
163,Sold 2022-07-05,"€435,324.00",Porter Square,2011,Yes,Yes, End-of-Terrace, 2-Storey,4,2,No
164,Sold 2022-07-05,"€396,484.00",Porter Square,2018,Yes,Yes, Semi-Detached, 2-Storey,2,2,No
165,Sold 2022-07-05,"€625,751.00",Brookville,2019,Yes,Yes, Detached, 2-Storey,3,2,No
166,Sold 2022-07-05,"€477,655.00",Avoca,2009,Yes,No, Detached, 2-Storey,3,2,No
167,Sold 2022-07-05,"€497,582.00",Brookville,2010,Yes,Yes, Detached, 2-Storey,3,2,No
168,Sold 2022-07-05,"€304,786.00",Beacon Hill,1937,Yes,???, Detached, 1-Storey,3,1,No
169,Sold 2022-07-05,"€897,431.00",Rivermount,1905,Yes,No, Detached, 2-Storey,3,3,No
170,Sold 2022-07-05,"€375,448.00",Oak Park,1976,Yes,Yes, Detached, 1-Storey,3,1,No
171,Sold 2022-07-05,"€417,714.00",Oak Park,1987,Yes,No, Detached, 1-Storey,3,1,Yes
172,Sold 2022-07-05,"€347,848.00",Oak Park,1967,Yes,Yes, Detached, 1-Storey,3,1,Yes
173,Sold 2022-07-05,"€334,346.00",Brookville,1987,Yes,Yes, Detached, 1-Storey,3,1,Yes
174,Sold 2022-07-05,"€330,942.00",Rivermount,1945,Yes,Yes, Detached, 1-Storey,3,1,No
175,Sold 2022-07-05,"€341,472.00",Rivermount,1915,Yes,No, Terraced, 2-Storey,4,2,Yes
176,Sold 2022-07-05,"€294,015.00",Rivermount,1955,Yes,No, Detached, 1-Storey,2,1,No
177,Sold 2022-07-05,"€723,077.00",Avoca,2017,Yes,No, Semi-Detached, 1-Storey,2,2,No
178,Sold 2022-07-05,"€603,462.00",Avoca,2014,Yes,Yes, Detached, 2-Storey,3,2,No
179,Sold 2022-07-05,"€508,306.00",Avoca,2010,Yes,Yes, Detached, 2-Storey,3,2,No
180,Sold 2022-07-13,"€ 560,269",Brookville,2006,Yes,Yes, Detached, 2-Storey,4,2,No
181,Sold 2022-07-13,"€496,103.00",Brookville,2020,Yes,Yes, Detached, 1-Storey,2,2,No
182,Sold 2022-07-13,"€510,288.00",Brookville,2020,Yes,Yes, Detached, 1-Storey,2,2,No
183,Sold 2022-07-13,"€392,399.00",Oak Park,1981,Yes,Yes, Detached, 1-Storey,3,1,Yes
184,Sold 2022-07-13,"€596,463.00",Brookville,2010,Yes,No, Detached, 2-Storey,3,2,Yes
185,Sold 2022-07-13,"€552,043.00",Avoca,2016,Yes,???, Semi-Detached, 1-Storey,2,2,Yes
186,Sold 2022-07-13,"€632,482.00",Summerston,c1947,Yes,Yes, Detached, 2-Storey,4,2,No
187,Sold 2022-07-13,"€246,898.00",Oak Park,1962,Yes,Yes, Bungalow, 1-Storey,3,1,Yes
188,Sold 2022-07-13,"€ 198,289",Broomhouse,1971,Yes,No, Bungalow, 1-Storey,3,1,Yes
189,Sold 2022-07-13,"€368,434.00",Oak Park,1966,Yes,Yes, Detached, 1-Storey,4,1,Yes
190,Sold 2022-07-13,"€305,483.00",Broomhouse,1972,Yes,No, Detached, 1-Storey,3,1,No
191,Sold 2022-07-13,"€356,070.00",Broomhouse,2002,Yes,No, Detached, 1.5-Storey,2,1,No
192,Sold 2022-07-13,"€413,204.00",Broomhouse,1960,Yes,Yes, Detached, 1-Storey,3,2,No
193,Sold 2022-07-13,"€469,592.00",Oak Park,1973,Yes,Yes, Detached, 1.5-Storey,3,1,No
194,Sold 2022-07-13,"€177,899.00",Beacon Hill,1961,Yes,Yes, Bungalow, 1-Storey,2,1,Yes
195,Sold 2022-07-13,"€484,251.00",Oak Park,1973,Yes,No, Detached, 2-Storey,3,2,No
196,Sold 2022-07-13,"€360,254.00",Brookville,1981,Yes,Yes, Detached, 1-Storey,3,2,No
197,Sold 2022-07-13,"€327,748.00",Brookville,1996,Yes,Yes, Detached, 1-Storey,4,1,No
198,Sold 2022-07-13,"€603,202.00",Brookville,2015,Yes,Yes, Detached, 2-Storey,3,2,No
199,Sold 2022-07-13,"€597,912.00",Brookville,2007,???,Yes, Detached, 1-Storey,3,2,No
200,Sold 2022-07-22,"€ 627,533",Brookville,2019,Yes,Yes, Detached, 2-Storey,3,3,No
201,Sold 2022-07-22,"€ 306,652",Beacon Hill,1941,Yes,Yes, Detached, 1-Storey,3,1,No
202,Sold 2022-07-22,"€475,863.00",Oak Park,1976,Yes,Yes, Detached, 1-Storey,3,2,Yes
203,Sold 2022-07-22,"€124,810.00",Beacon Hill,1947,Yes,No, Bungalow, 1-Storey,2,1,No
204,Sold 2022-07-22,"€273,118.00",Summerston,1952,Yes,No, Bungalow, 1-Storey,3,1,No
205,Sold 2022-07-22,"€417,888.00",Beacon Hill,1937,Yes,Yes, Detached, 1-Storey,3,2,No
206,Sold 2022-07-22,"€276,819.00",Summerston,1959,Yes,No, Bungalow, 1-Storey,3,1,No
207,Sold 2022-07-22,"€ 247,472",Summerston,1915,Yes,Yes, Detached, 2-Storey,2,1,No
208,Sold 2022-07-22,"€381,835.00",Summerston,1910,Yes,No, Duplex, 1-Storey,4,2,Yes
209,Sold 2022-07-22,"€807,572.00",Porter Square,2013,Yes,No, Detached, 1-Storey,3,2,Yes
210,Sold 2022-07-22,"€ 345,147",Oak Park,1964,Yes,No, Detached, 1-Storey,3,1,No
211,Sold 2022-07-22,"€276,386.00",Oak Park,1969,Yes,Yes, Bungalow, 1-Storey,3,1,Yes
212,Sold 2022-07-22,"€623,906.00",Porter Square,2018,Yes,Yes, Detached, 1-Storey,3,2,No
213,Sold 2022-07-22,"€583,614.00",Porter Square,2020,Yes,No, Detached, 2-Storey,3,2,No
214,Sold 2022-07-22,"€505,893.00",Brookville,2011,Yes,No, Detached, 1-Storey,3,2,No
215,Sold 2022-07-22,"€1,632,196.00",Avoca,Unknown,Yes,No, Detached, 1-Storey,2,2,No
216,Sold 2022-07-22,"€502,840.00",Avoca,2017,Yes,No, Detached, 1.5-Storey,2,2,Yes
217,Sold 2022-07-22,"€488,373.00",Summerston,1930,Yes,No, Detached, 1-Storey,4,2,No
218,Sold 2022-07-22,"€223,804.00",Summerston,1929,Yes,No, Bungalow, 1-Storey,2,1,No
219,Sold 2022-07-22,"€432,635.00",Summerston,2015,Yes,Yes, Detached, 2-Storey,3,2,No
220,Sold 2022-07-31,"€321,508.00",Summerston,2015,Yes,No, Semi-Detached, 1.5-Storey,2,1,No
221,Sold 2022-07-31,"€520,070.00",Porter Square,2016,Yes,No, Semi-Detached, 1-Storey,2,2,No
222,Sold 2022-07-31,"€ 297,974",Rivermount,c1938,Yes,No, Detached, 1-Storey,2,1,Yes
223,Sold 2022-07-31,"€421,000.00",Rivermount,1905,No,No, Terraced, 1-Storey,3,2,Yes
224,Sold 2022-07-31,"€283,208.00",Oak Park,1975,Yes,Yes, Detached, 1-Storey,3,1,No
225,Sold 2022-07-31,"€857,527.00",Summerston,2017,Yes,Yes, Detached, 1-Storey,3,2,No
226,Sold 2022-07-31,"€273,623.00",Rivermount,1966,No,Yes, Bungalow, 1-Storey,2,1,Yes
227,Sold 2022-07-31,"€342,108.00",Summerston,2009,No,Yes, End-of-Terrace, 2-Storey,3,2,No
228,Sold 2022-07-31,"€320,377.00",Summerston,1962,No,No, Terraced, 1-Storey,3,1,YES
229,Sold 2022-07-31,"€196,224.00",Beacon Hill,1942,No,Yes, Bungalow, 1-Storey,2,1,No
230,Sold 2022-07-31,"€460,612.00",Avoca,2008,Yes,No, Detached, 2-Storey,3,2,No
231,Sold 2022-07-31,"€476,003.00",Avoca,2016,Yes,Yes, Detached, 2-Storey,3,2,Yes
232,Sold 2022-07-31,"€676,602.00",Porter Square,2015,Yes,Yes, Detached, 2-Storey,3,2,NO
233,Sold 2022-07-31,"€325,441.00",Oak Park,1972,Yes,No, Detached, 1.5-Storey,4,2,Yes
234,Sold 2022-07-31,"€428,783.00",Oak Park,1975,Yes,No, Detached, 1-Storey,3,1,No
235,Sold 2022-07-31,"€ 652,427",Porter Square,2020,???,???, Detached, 1-Storey,3,2,Yes
236,Sold 2022-07-31,"€681,300.00",Porter Square,2020,Yes,Yes, Detached, 2-Storey,3,2,No
237,Sold 2022-07-31,"€472,377.00",Porter Square,2011,Yes,Yes, End-of-Terrace, 2-Storey,3,2,No
238,Sold 2022-07-31,"€431,005.00",Broomhouse,1982,Yes,Yes, Detached, 1.5-Storey,3,2,No
239,Sold 2022-07-31,"€273,413.00",Broomhouse,1952,No,Yes, Bungalow, 1-Storey,2,1,No
240,Sold 2022-08-21,"€345,337.00",Broomhouse,1980,Yes,Yes, Detached, 1-Storey,3,1,No
241,Sold 2022-08-21,"€223,101.00",Broomhouse,1975,Yes,???, Duplex, 1-Storey,3,2,No
242,Sold 2022-08-21,"€628,990.00",Avoca,2020,Yes,No, End-of-Terrace, 1-Storey,2,2,Yes
243,Sold 2022-08-21,"€776,385.00",Avoca,2015,Yes,Yes, Detached, 2-Storey,3,2,Yes
244,Sold 2022-08-21,"€377,492.00",Oak Park,1971,Yes,No, Detached, 1-Storey,3,1,No
245,Sold 2022-08-21,"€388,606.00",Oak Park,1987,Yes,Yes, Detached, 1-Storey,2,1,No
246,Sold 2022-08-21,"€ 348,072",Broomhouse,1960,Yes,Yes, Detached, 1-Storey,4,2,Yes
247,Sold 2022-08-21,"€269,080.00",Rivermount,Unknown,No,No, Terraced, 2-Storey,3,2,No
248,Sold 2022-08-21,"€364,583.00",Rivermount,1955,Yes,Yes, Detached, 1-Storey,2,1,No
249,Sold 2022-08-21,"€163,513.00",Summerston,1926,Yes,No, Bungalow, 1-Storey,2,1,No
250,Sold 2022-08-21,"€347,280.00",Brookville,1985,Yes,Yes, Detached, 1.5-Storey,2,1,No
