,Unnamed: 0,Sale Date,Sale Price,Location,Year Built,Garden,Garage,Type,Style,Bedrooms,Bathrooms,First Time Buyer
29,29,2021-03-02,386110.00,Porter Square,2016,Yes,Yes,Semi-Detached, 2-Storey,2,2,no
30,30,2021-03-02,408497.00,Porter Square,2017,Yes,Yes,End-of-Terrace, 2-Storey,3,2,no
31,31,2021-03-02,427575.00,Oak Park,1982,Yes,Yes,Detached, 1-Storey,3,2,no
32,32,2021-03-02,338466.00,Beacon Hill,1944,Yes,Yes,Detached, 1-Storey,3,1,no
33,33,2021-03-02,409045.00,Beacon Hill,1926,Yes,No,Detached, 2-Storey,3,1,no
34,34,2021-03-02,286030.00,Beacon Hill,1928,Yes,Yes,Bungalow, 1-Storey,2,2,no
35,35,2021-03-02,337067.00,Beacon Hill,1953,Yes,No,Detached, 1-Storey,3,1,no
36,36,2021-03-02,490908.00,Porter Square,2017,Yes,Yes,End-of-Terrace, 2-Storey,3,2,no
37,37,2021-03-02,735541.00,Porter Square,2017,Yes,Yes,Detached, 2-Storey,3,2,no
38,38,2021-03-02,548784.00,Porter Square,2020,Yes,No,Detached, 2-Storey,3,2,no
39,39,2021-03-02,425324.00,Porter Square,2012,Yes,No,Detached, 1-Storey,2,2,yes
40,40,2021-03-27,882440.00,Porter Square,2018,Yes,No,Detached, 1-Storey,3,2,yes
41,41,2021-03-27,372983.00,Broomhouse,1974,Yes,Yes,Detached, 1-Storey,3,1,no
42,42,2021-03-27,374884.00,Broomhouse,1967,Yes,Yes,Detached, 1.5-Storey,3,1,no
43,43,2021-03-27,366153.00,Broomhouse,2001,Yes,Unknown,Detached, 1.5-Storey,2,1,yes
44,44,2021-03-27,394684.00,Oak Park,1980,Yes,Yes,Detached, 1-Storey,3,1,yes
45,45,2021-03-27,393765.00,Oak Park,1972,Yes,No,Detached, 1-Storey,2,1,no
46,46,2021-03-27,301980.00,Broomhouse,1973,Yes,Yes,Detached, 1-Storey,3,1,no
47,47,2021-03-27,371745.00,Broomhouse,1989,Yes,Yes,Detached, 1-Storey,3,1,no
48,48,2021-03-27,332483.00,Oak Park,1969,Yes,No,Detached, 1.5-Storey,3,1,yes
49,49,2021-03-27,265492.00,Oak Park,1953,Yes,No,Bungalow, 1-Storey,3,1,no
50,50,2021-03-27,518045.00,Oak Park,1976,Yes,No,Detached, 1-Storey,2,2,no
51,51,2021-03-27,411797.00,Oak Park,1970,Yes,Yes,Detached, 1-Storey,4,1,no
52,52,2021-03-27,570205.00,Brookville,2018,Yes,No,Detached, 2-Storey,3,2,yes
53,53,2021-03-27,579203.00,Brookville,2013,Yes,Yes,Detached, 2-Storey,4,2,yes
54,54,2021-03-27,357054.00,Brookville,1987,Yes,Yes,Detached, 1-Storey,3,1,no
55,55,2021-03-27,564754.00,Brookville,2009,Yes,Unknown,Detached, 1-Storey,4,2,no
56,56,2021-03-27,527093.00,Brookville,2012,Yes,Yes,Detached, 1-Storey,3,2,no
57,57,2021-03-27,322940.00,Brookville,2006,Yes,Yes,Detached, 1-Storey,3,1,no
58,58,2021-03-27,437184.00,Oak Park,1982,Yes,Yes,Detached, 1-Storey,2,1,no
59,59,2021-03-27,362123.00,Summerston,1977,Yes,No,Detached, 1-Storey,2,1,yes
60,60,2021-04-27,347704.00,Rivermount,1931,Yes,Yes,Detached, 1-Storey,4,2,no
61,61,2021-04-27,260640.00,Rivermount,1968,Yes,No,Bungalow, 1-Storey,1,1,no
62,62,2021-04-27,264454.00,Rivermount,1910,Yes,No,Detached, 2-Storey,4,2,no
63,63,2021-04-27,339635.00,Broomhouse,1974,Yes,No,Detached, 1-Storey,3,1,yes
64,64,2021-04-27,274739.00,Oak Park,1983,Yes,Yes,Bungalow, 1-Storey,3,1,no
65,65,2021-04-27,299112.00,Rivermount,1892,Yes,No,Detached, 2-Storey,5,2,no
66,66,2021-04-27,454509.00,Rivermount,1942,Yes,Yes,Detached, 1-Storey,3,2,yes
67,67,2021-04-27,320022.00,Broomhouse,,Yes,No,Detached, 1-Storey,3,1,no
68,68,2021-04-27,606237.00,Porter Square,,Yes,Yes,Detached, 2-Storey,3,2,yes
69,69,2021-04-27,254297.00,Summerston,1922,Yes,No,Detached, 2-Storey,2,1,yes
70,70,2021-04-27,270268.00,Summerston,1935,No,Yes,Bungalow, 1-Storey,3,1,no
71,71,2021-04-27,266159.00,Summerston,1962,Yes,Yes,Bungalow, 1-Storey,2,1,yes
72,72,2021-04-27,158258.00,Summerston,1934,Yes,No,Bungalow, 1-Storey,2,1,no
73,73,2021-04-27,189231.00,Summerston,1944,Yes,No,Bungalow, 1-Storey,2,1,no
74,74,2021-04-27,384282.00,Summerston,1988,Yes,Unknown,Detached, 1-Storey,3,1,no
75,75,2021-04-27,355944.00,Summerston,,Yes,No,Detached, 1-Storey,3,1,no
76,76,2021-04-27,471084.00,Broomhouse,1974,Yes,Yes,Detached, 1-Storey,3,2,no
77,77,2021-04-27,296105.00,Broomhouse,1978,Yes,Yes,Detached, 1.5-Storey,3,1,no
78,78,2021-04-27,237358.00,Summerston,1977,Yes,No,Bungalow, 1-Storey,3,1,yes
79,79,2021-04-27,346903.00,Oak Park,1965,Yes,Yes,Detached, 1-Storey,2,1,no
80,80,2021-05-08,457093.00,Oak Park,1964,Yes,Yes,Detached, 1-Storey,3,1,yes
81,81,2021-05-08,563203.00,Brookville,2010,Yes,No,Detached, 2-Storey,3,2,no
82,82,2021-05-08,405414.00,Brookville,1986,Yes,Yes,Detached, 1-Storey,4,2,no
83,83,2021-05-08,331529.00,Broomhouse,1980,Yes,Yes,Detached, 1-Storey,3,1,no
84,84,2021-05-08,440660.00,Avoca,2007,Yes,Yes,Detached, 2-Storey,3,2,no
85,85,2021-05-08,302393.00,Summerston,2002,No,No,Duplex, 1.5-Storey,3,1,yes
86,86,2021-05-08,560489.00,Beacon Hill,1935,Yes,No,Detached, 1-Storey,3,1,no
87,87,2021-05-08,599315.00,Summerston,1964,Yes,No,Detached, 2-Storey,3,3,no
88,88,2021-05-08,355275.00,Beacon Hill,1926,Yes,Yes,Detached, 2-Storey,4,1,no
89,89,2021-05-08,778575.00,Avoca,2015,Yes,Yes,Detached, 2-Storey,4,2,no
90,90,2021-05-08,475455.00,Beacon Hill,1941,Yes,Yes,Detached, 1-Storey,4,2,no
91,91,2021-05-08,257617.00,Beacon Hill,1938,Yes,Yes,Bungalow, 1-Storey,2,1,no
92,92,2021-05-08,445966.00,Avoca,1954,Yes,No,Detached, 2-Storey,3,2,no
93,93,2021-05-08,146221.00,Broomhouse,1979,Yes,Yes,Bungalow, 1-Storey,3,1,yes
94,94,2021-05-08,295275.00,Broomhouse,1978,Yes,Unknown,Detached, 1.5-Storey,3,1,no
95,95,2021-05-08,676223.00,Avoca,2018,Yes,Yes,Detached, 1-Storey,3,2,no
96,96,2021-05-08,493939.00,Avoca,2006,Yes,No,Detached, 2-Storey,3,2,no
97,97,2021-05-08,310761.00,Summerston,2001,No,Unknown,Duplex, 1.5-Storey,3,1,yes
98,98,2021-05-08,195185.00,Summerston,1943,No,No,Bungalow, 1-Storey,3,1,yes
99,99,2021-05-08,207545.00,Summerston,1968,Yes,Yes,Bungalow, 1-Storey,3,1,no
100,100,2021-05-24,463851.00,Brookville,2010,Yes,Yes,Detached, 1-Storey,3,2,yes
101,101,2021-05-24,545297.00,Brookville,2009,Yes,Yes,Detached, 2-Storey,3,2,no
102,102,2021-05-24,331333.00,Broomhouse,1973,Yes,Yes,Detached, 1-Storey,3,1,no
103,103,2021-05-24,356292.00,Broomhouse,1981,Yes,Yes,Detached, 1-Storey,2,1,yes
104,104,2021-05-24,348109.00,Oak Park,1961,Yes,Yes,Detached, 1-Storey,2,1,yes
105,105,2021-05-24,303599.00,Oak Park,1962,Yes,Yes,Detached, 1-Storey,3,1,yes
106,106,2021-05-24,354298.00,Oak Park,1969,Yes,Yes,Detached, 1-Storey,3,1,no
107,107,2021-05-24,325873.00,Oak Park,1976,Yes,No,Detached, 1-Storey,3,1,yes
108,108,2021-05-24,326909.00,Oak Park,1967,Yes,Unknown,Detached, 1-Storey,3,1,no
109,109,2021-05-24,254329.00,Summerston,1922,Yes,Yes,Detached, 2-Storey,2,1,no
110,110,2021-05-24,389928.00,Oak Park,1969,Yes,Yes,Detached, 1-Storey,3,1,no
111,111,2021-05-24,430151.00,Oak Park,1981,Yes,Yes,Detached, 1.5-Storey,3,1,no
112,112,2021-05-24,333520.00,Summerston,1972,Yes,Yes,Detached, 1-Storey,3,1,no
113,113,2021-05-24,343517.00,Oak Park,2010,No,No,Semi-Detached, 1.5-Storey,1,1,yes
114,114,2021-05-24,275034.00,Oak Park,1983,Yes,Yes,Bungalow, 1-Storey,3,1,yes
115,115,2021-05-24,482993.00,Avoca,2013,Yes,Yes,Detached, 2-Storey,3,2,yes
116,116,2021-05-24,483995.00,Avoca,2016,Yes,No,Detached, 2-Storey,3,2,no
117,117,2021-05-24,725678.00,Brookville,2010,Yes,Yes,Detached, 2-Storey,4,2,no
118,118,2021-05-24,417836.00,Avoca,2003,Yes,Yes,Detached, 1.5-Storey,3,2,no
119,119,2021-05-24,373178.00,Beacon Hill,1932,Yes,Yes,Detached, 1-Storey,3,1,no
120,120,2021-05-30,442904.00,Avoca,2015,Yes,Yes,Detached, 2-Storey,3,2,no
121,121,2021-05-30,454297.00,Beacon Hill,1920,Yes,Yes,Detached, 2-Storey,3,2,no
122,122,2021-05-30,355233.00,Beacon Hill,1932,Yes,Yes,Detached, 2-Storey,4,1,no
123,123,2021-05-30,330290.00,Rivermount,1953,Yes,Yes,Detached, 1-Storey,2,1,no
124,124,2021-05-30,431860.00,Oak Park,1976,Yes,Yes,Detached, 2-Storey,4,1,no
125,125,2021-05-30,441490.00,Porter Square,2012,Yes,Unknown,Semi-Detached, 2-Storey,2,2,no
126,126,2021-05-30,425040.00,Oak Park,1979,Yes,Yes,Detached, 1-Storey,2,1,no
127,127,2021-05-30,379832.00,Oak Park,1975,Yes,No,Detached, 1-Storey,4,1,no
128,128,2021-05-30,348199.00,Oak Park,1968,Yes,Yes,Detached, 1-Storey,3,1,yes
129,129,2021-05-30,333002.00,Oak Park,1969,Yes,Yes,Detached, 1-Storey,2,1,no
130,130,2021-05-30,246912.00,Summerston,1938,Yes,No,Bungalow, 1-Storey,2,1,no
131,131,2021-05-30,409143.00,Summerston,2017,Yes,No,Detached, 1-Storey,2,1,yes
132,132,2021-05-30,216986.00,Rivermount,1942,Yes,No,Bungalow, 1-Storey,3,1,yes
133,133,2021-05-30,193533.00,Summerston,1949,Yes,No,Terraced, 1-Storey,2,1,yes
134,134,2021-05-30,466361.00,Porter Square,2012,Yes,Yes,End-of-Terrace, 2-Storey,3,2,no
135,135,2021-05-30,473001.00,Porter Square,2019,Yes,Yes,Semi-Detached, 2-Storey,2,2,no
136,136,2021-05-30,516584.00,Avoca,2017,Yes,No,Semi-Detached, 1-Storey,2,2,no
137,137,2021-05-30,1095835.00,Avoca,2012,Yes,Yes,Detached, 1-Storey,2,2,yes
138,138,2021-05-30,784937.00,Avoca,2020,Yes,No,Detached, 1-Storey,3,3,no
139,139,2021-05-30,644137.00,Porter Square,2009,Yes,No,Detached, 2-Storey,3,2,no
140,140,2021-06-07,329454.00,Oak Park,1991,Yes,Yes,Detached, 1-Storey,3,1,yes
141,141,2021-06-07,368593.00,Oak Park,1970,Yes,No,Duplex, 1-Storey,5,2,no
142,142,2021-06-07,350516.00,Rivermount,1972,Yes,Yes,Detached, 1-Storey,2,1,no
143,143,2021-06-07,306788.00,Rivermount,1960,Yes,Yes,Detached, 1-Storey,2,1,yes
144,144,2021-06-07,342123.00,Oak Park,,No,Unknown,Semi-Detached, 1.5-Storey,1,1,yes
145,145,2021-06-07,314962.00,Oak Park,1980,Yes,No,Detached, 1-Storey,3,1,no
146,146,2021-06-07,225074.00,Rivermount,1958,Yes,No,Bungalow, 1-Storey,3,1,yes
147,147,2021-06-07,655526.00,Summerston,1962,Yes,Yes,Detached, 1-Storey,4,2,no
148,148,2021-06-07,204454.00,Summerston,1954,Yes,Unknown,Bungalow, 1-Storey,1,2,yes
149,149,2021-06-07,336318.00,Oak Park,1963,Yes,Yes,Detached, 1-Storey,3,1,no
150,150,2021-06-07,480121.00,Oak Park,1972,Yes,No,Detached, 1-Storey,3,1,no
151,151,2021-06-07,339343.00,Oak Park,1968,Yes,Yes,Detached, 1-Storey,2,1,no
152,152,2021-06-07,333136.00,Oak Park,1970,Yes,Yes,Detached, 1-Storey,2,1,no
153,153,2021-06-07,379606.00,Oak Park,1954,Yes,Yes,Detached, 2-Storey,3,1,yes
154,154,2021-06-07,442659.00,Oak Park,1977,Yes,Yes,Detached, 2-Storey,4,1,no
155,155,2021-06-07,234361.00,Oak Park,1970,Yes,No,Duplex, 1-Storey,2,2,no
156,156,2021-06-07,399797.00,Rivermount,1960,Yes,No,Detached, 1-Storey,2,1,yes
157,157,2021-06-07,279415.00,Oak Park,1983,Yes,Yes,Bungalow, 1-Storey,2,1,yes
158,158,2021-06-07,643260.00,Oak Park,1978,Yes,Yes,Detached, 1-Storey,3,2,yes
159,159,2021-06-07,306495.00,Oak Park,1970,Yes,No,Detached, 1-Storey,2,1,yes
160,160,2021-06-15,406859.00,Oak Park,1977,Yes,No,Detached, 1-Storey,3,1,no
161,161,2021-06-15,338999.00,Oak Park,1965,Yes,Unknown,Detached, 1-Storey,3,1,yes
162,162,2021-06-15,310992.00,Oak Park,1954,Yes,Yes,Detached, 1-Storey,3,1,no
163,163,2021-06-15,315064.00,Oak Park,1983,Yes,Yes,Detached, 1-Storey,3,1,yes
164,164,2021-06-15,306509.00,Summerston,1969,Yes,Yes,Detached, 1-Storey,3,1,no
165,165,2021-06-15,386101.00,Oak Park,1965,Yes,Yes,Detached, 1-Storey,4,2,no
166,166,2021-06-15,485816.00,Oak Park,1984,Yes,Yes,Detached, 2-Storey,4,1,no
167,167,2021-06-15,583520.00,Oak Park,1983,Yes,Unknown,Detached, 2-Storey,4,2,no
168,168,2021-06-15,618192.00,Porter Square,2013,Yes,Yes,Detached, 2-Storey,3,2,no
169,169,2021-06-15,691198.00,Porter Square,2018,Yes,Yes,Detached, 1-Storey,3,2,no
170,170,2021-06-15,463332.00,Porter Square,2009,Yes,Yes,End-of-Terrace, 2-Storey,2,2,no
171,171,2021-06-15,453504.00,Porter Square,2016,Yes,Yes,End-of-Terrace, 2-Storey,3,2,no
172,172,2021-06-15,462409.00,Avoca,2011,Yes,Yes,Detached, 1.5-Storey,3,2,no
173,173,2021-06-15,519927.00,Brookville,2014,Yes,No,Detached, 1-Storey,3,2,yes
174,174,2021-06-15,984304.00,Avoca,,Yes,Yes,Detached, 2-Storey,4,2,no
175,175,2021-06-15,312609.00,Brookville,2012,Yes,Yes,Detached, 1-Storey,3,1,no
176,176,2021-06-15,606189.00,Brookville,2015,Yes,No,Detached, 1-Storey,3,2,no
177,177,2021-06-15,463473.00,Avoca,2007,Yes,Yes,Detached, 1-Storey,3,2,no
178,178,2021-06-15,463274.00,Porter Square,2011,Yes,Yes,Semi-Detached, 2-Storey,2,2,no
179,179,2021-06-15,339316.00,Beacon Hill,1941,Yes,Yes,Detached, 1-Storey,2,1,yes
180,180,2021-07-03,123571.00,Beacon Hill,1939,Yes,No,Bungalow, 1-Storey,2,1,no
181,181,2021-07-03,587966.00,Brookville,2015,Unknown,Yes,Detached, 2-Storey,4,2,yes
182,182,2021-07-03,388537.00,Brookville,2008,Yes,No,Semi-Detached, 1-Storey,1,1,yes
183,183,2021-07-03,269540.00,Oak Park,1971,No,No,Bungalow, 1-Storey,3,1,yes
184,184,2021-07-03,464366.00,Avoca,2020,Yes,Yes,Detached, 2-Storey,3,2,no
185,185,2021-07-03,466321.00,Avoca,2009,Yes,Yes,Detached, 2-Storey,3,2,yes
186,186,2021-07-03,305187.00,Oak Park,1983,Yes,Yes,Detached, 1-Storey,3,1,no
187,187,2021-07-03,349286.00,Oak Park,1967,Yes,No,Detached, 1-Storey,3,1,no
188,188,2021-07-03,291091.00,Oak Park,1970,Yes,Yes,Detached, 1-Storey,2,1,no
189,189,2021-07-03,387507.00,Oak Park,1964,Yes,No,Detached, 1-Storey,3,1,yes
190,190,2021-07-03,320299.00,Rivermount,1937,Yes,No,Detached, 1-Storey,3,1,no
191,191,2021-07-03,840765.00,Brookville,2016,Yes,No,Detached, 1-Storey,3,2,yes
192,192,2021-07-03,323215.00,Brookville,2008,Yes,No,Semi-Detached, 1-Storey,1,1,no
193,193,2021-07-03,428590.00,Avoca,2004,Yes,Yes,Detached, 1.5-Storey,3,2,no
194,194,2021-07-03,365027.00,Oak Park,1973,Yes,No,Duplex, 1-Storey,5,2,no
195,195,2021-07-03,431441.00,Oak Park,1974,Yes,Yes,Detached, 1.5-Storey,3,1,yes
196,196,2021-07-03,574421.00,Avoca,2016,Yes,No,Detached, 2-Storey,4,2,no
197,197,2021-07-03,444342.00,Oak Park,1974,Yes,No,Detached, 2-Storey,4,2,yes
198,198,2021-07-03,300643.00,Rivermount,,Yes,Yes,Detached, 1-Storey,2,1,yes
199,199,2021-07-03,291780.00,Rivermount,1917,Yes,Yes,Detached, 2-Storey,2,1,no
200,200,2021-07-13,416298.00,Rivermount,1902,Yes,No,Detached, 2-Storey,3,1,no
201,201,2021-07-13,252122.00,Rivermount,1935,No,Yes,Bungalow, 1-Storey,2,1,no
202,202,2021-07-13,318688.00,Rivermount,1925,Yes,No,Detached, 2-Storey,3,2,yes
203,203,2021-07-13,387666.00,Rivermount,1928,Yes,No,Detached, 1-Storey,4,1,yes
204,204,2021-07-13,314026.00,Oak Park,1961,Yes,Yes,Detached, 1-Storey,3,1,yes
205,205,2021-07-13,375012.00,Oak Park,1973,Yes,No,Detached, 1-Storey,2,1,no
206,206,2021-07-13,509937.00,Oak Park,1984,Yes,Unknown,Detached, 2-Storey,4,1,no
207,207,2021-07-13,324193.00,Oak Park,1972,Yes,Yes,Detached, 1-Storey,3,1,yes
208,208,2021-07-13,358340.00,Beacon Hill,1944,Yes,Yes,Detached, 1-Storey,3,1,no
209,209,2021-07-13,475925.00,Beacon Hill,1931,Yes,Yes,Detached, 2-Storey,3,1,no
210,210,2021-07-13,437469.00,Oak Park,1965,Yes,Yes,Detached, 1.5-Storey,3,1,no
211,211,2021-07-13,316988.00,Oak Park,1959,Yes,Yes,Detached, 1-Storey,3,1,no
212,212,2021-07-13,353230.00,Oak Park,1960,No,No,Duplex, 2-Storey,4,2,no
213,213,2021-07-13,285797.00,Beacon Hill,1956,Yes,Yes,Bungalow, 1-Storey,3,1,yes
214,214,2021-07-13,494950.00,Beacon Hill,1938,Yes,Yes,Detached, 2-Storey,3,2,no
215,215,2021-07-13,399894.00,Beacon Hill,1927,Yes,Yes,Detached, 2-Storey,3,1,no
216,216,2021-07-13,331605.00,Oak Park,1962,Yes,No,Detached, 1-Storey,3,1,no
217,217,2021-07-13,351940.00,Oak Park,1955,Yes,Yes,Detached, 1-Storey,3,1,no
218,218,2021-07-13,372883.00,Oak Park,1970,Yes,No,Detached, 1-Storey,3,1,yes
219,219,2021-07-13,391563.00,Oak Park,1971,Yes,Unknown,Detached, 1-Storey,3,1,yes
220,220,2021-07-26,274586.00,Rivermount,1932,Yes,Yes,Bungalow, 1-Storey,2,1,no
221,221,2021-07-26,213787.00,Summerston,1932,Yes,No,Bungalow, 1-Storey,2,1,no
222,222,2021-07-26,340595.00,Broomhouse,1975,Yes,Yes,Detached, 1-Storey,2,1,yes
223,223,2021-07-26,372896.00,Broomhouse,1972,Yes,Yes,Detached, 1-Storey,3,1,no
224,224,2021-07-26,276095.00,Rivermount,1952,No,Yes,Bungalow, 1-Storey,2,1,yes
225,225,2021-07-26,347690.00,Broomhouse,1978,Yes,No,Detached, 1-Storey,3,1,yes
226,226,2021-07-26,370461.00,Oak Park,1979,Yes,Yes,Detached, 1-Storey,3,2,no
227,227,2021-07-26,700177.00,Porter Square,2010,Yes,Yes,Detached, 2-Storey,3,2,no
228,228,2021-07-26,494607.00,Oak Park,1976,Yes,No,Detached, 2-Storey,3,2,no
229,229,2021-07-26,675581.00,Porter Square,2018,Yes,Yes,Detached, 1-Storey,3,2,yes
230,230,2021-07-26,312187.00,Brookville,1989,Yes,Unknown,Detached, 1-Storey,3,3,yes
231,231,2021-07-26,322889.00,Brookville,1990,Yes,Yes,Detached, 1-Storey,2,1,no
232,232,2021-07-26,779065.00,Brookville,2014,Yes,Yes,Detached, 1-Storey,3,2,no
233,233,2021-07-26,671702.00,Porter Square,2013,Yes,Yes,Detached, 1-Storey,3,2,no
234,234,2021-07-26,359952.00,Oak Park,1966,Yes,No,Detached, 1-Storey,3,1,no
235,235,2021-07-26,566638.00,Avoca,2020,Yes,No,End-of-Terrace, 1-Storey,2,2,no
236,236,2021-07-26,613762.00,Brookville,2014,Yes,Yes,Detached, 2-Storey,3,2,no
237,237,2021-07-26,410807.00,Avoca,2011,Yes,Yes,Detached, 2-Storey,3,2,no
238,238,2021-07-26,458468.00,Avoca,2006,Yes,No,Detached, 2-Storey,3,2,no
239,239,2021-07-26,878360.00,Rivermount,,Yes,No,Detached, 2-Storey,3,3,no
240,240,2021-08-02,324526.00,Rivermount,1934,Yes,Yes,Detached, 2-Storey,3,1,no
241,241,2021-08-02,252163.00,Rivermount,1897,No,Yes,Bungalow, 1-Storey,2,1,no
242,242,2021-08-02,228481.00,Rivermount,1959,Yes,No,Terraced, 1-Storey,2,1,no
243,243,2021-08-02,559211.00,Avoca,2018,Yes,No,End-of-Terrace, 1-Storey,2,2,yes
244,244,2021-08-02,341869.00,Rivermount,1964,Yes,No,Detached, 1-Storey,2,1,no
245,245,2021-08-02,140231.00,Rivermount,1939,No,Yes,Bungalow, 1-Storey,4,2,no
246,246,2021-08-02,442950.00,Avoca,2009,Yes,No,Detached, 2-Storey,3,2,no
247,247,2021-08-02,971768.00,Avoca,2020,Yes,Yes,Detached, 2-Storey,4,2,no
248,248,2021-08-02,416090.00,Avoca,2000,Yes,Yes,Detached, 1.5-Storey,3,2,no
249,249,2021-08-02,772794.00,Rivermount,1887,Yes,No,Detached, 2-Storey,4,3,no
250,250,2021-08-02,361634.00,Rivermount,1992,Yes,No,Duplex, 1.5-Storey,2,1,yes
251,251,2021-08-02,756928.00,Avoca,2017,Yes,Unknown,Semi-Detached, 1-Storey,2,2,yes
252,252,2021-08-02,284251.00,Broomhouse,1930,Yes,Yes,Detached, 1-Storey,3,2,no
253,253,2021-08-02,635132.00,Porter Square,2012,Yes,Yes,Detached, 1-Storey,3,2,no
254,254,2021-08-02,772568.00,Porter Square,2019,Yes,No,Detached, 1-Storey,3,2,yes
255,255,2021-08-02,139935.00,Rivermount,1939,Yes,Yes,Bungalow, 1-Storey,4,2,no
256,256,2021-08-02,194269.00,Rivermount,1919,Yes,No,Bungalow, 1-Storey,3,1,no
257,257,2021-08-02,316083.00,Brookville,2006,Yes,No,Detached, 1-Storey,3,1,no
258,258,2021-08-02,361450.00,Oak Park,1972,Yes,Yes,Detached, 1-Storey,3,1,no
259,259,2021-08-02,410988.00,Avoca,2011,Yes,Yes,Detached, 2-Storey,3,2,no
260,260,2021-08-16,735397.00,Avoca,2014,Yes,Yes,Detached, 2-Storey,3,2,no
261,261,2021-08-16,321422.00,Broomhouse,1979,Yes,Yes,Detached, 1-Storey,3,1,no
262,262,2021-08-16,470881.00,Avoca,2019,Yes,Yes,Detached, 2-Storey,3,2,yes
263,263,2021-08-16,622748.00,Porter Square,2016,Yes,Yes,Detached, 2-Storey,3,2,yes
264,264,2021-08-16,682420.00,Porter Square,2020,Yes,Unknown,Detached, 2-Storey,4,2,no
265,265,2021-08-16,844215.00,Porter Square,2016,Unknown,Yes,Detached, 1-Storey,3,2,no
266,266,2021-08-16,756083.00,Brookville,2014,Yes,Yes,Detached, 1-Storey,3,2,yes
267,267,2021-08-16,467508.00,Brookville,2007,Yes,Yes,Detached, 1-Storey,3,2,yes
268,268,2021-08-16,565901.00,Brookville,2010,Yes,Yes,Detached, 2-Storey,3,2,no
269,269,2021-08-16,423525.00,Avoca,2015,Yes,No,Detached, 2-Storey,3,2,no
270,270,2021-08-16,358941.00,Oak Park,1970,Yes,No,Detached, 1-Storey,3,1,no
271,271,2021-08-16,502666.00,Broomhouse,1989,Unknown,No,Duplex, 1-Storey,4,2,yes
272,272,2021-08-16,280310.00,Rivermount,1957,Yes,No,Detached, 1-Storey,2,1,no
273,273,2021-08-16,231357.00,Rivermount,1973,Yes,No,Terraced, 1-Storey,3,2,no
274,274,2021-08-16,508743.00,Brookville,2014,Yes,Yes,Detached, 1-Storey,3,2,no
275,275,2021-08-16,316942.00,Brookville,2003,Yes,No,Detached, 1-Storey,3,1,no
